Class,Count,Approach,Lambda,Method
A,211,optimistic,0.5,knn
B,46,optimistic,0.5,knn
C,2,optimistic,0.5,knn
E,15,optimistic,0.5,knn
A,212,pessimestic,0.5,knn
C,48,pessimestic,0.5,knn
D,2,pessimestic,0.5,knn
E,12,pessimestic,0.5,knn
A,196,optimistic,0.6,knn
B,56,optimistic,0.6,knn
C,3,optimistic,0.6,knn
E,19,optimistic,0.6,knn
A,193,pessimestic,0.6,knn
B,3,pessimestic,0.6,knn
C,58,pessimestic,0.6,knn
D,4,pessimestic,0.6,knn
E,16,pessimestic,0.6,knn
A,166,optimistic,0.7,knn
B,73,optimistic,0.7,knn
C,3,optimistic,0.7,knn
E,32,optimistic,0.7,knn
A,156,pessimestic,0.7,knn
B,10,pessimestic,0.7,knn
C,79,pessimestic,0.7,knn
D,4,pessimestic,0.7,knn
E,25,pessimestic,0.7,knn
A,162,optimistic,0.5,quantile
B,43,optimistic,0.5,quantile
C,15,optimistic,0.5,quantile
D,54,optimistic,0.5,quantile
A,126,optimistic,0.6,quantile
B,49,optimistic,0.6,quantile
C,39,optimistic,0.6,quantile
D,59,optimistic,0.6,quantile
E,1,optimistic,0.6,quantile
A,80,optimistic,0.7,quantile
B,63,optimistic,0.7,quantile
C,60,optimistic,0.7,quantile
D,70,optimistic,0.7,quantile
E,1,optimistic,0.7,quantile
A,116,pessimestic,0.5,quantile
B,46,pessimestic,0.5,quantile
C,43,pessimestic,0.5,quantile
D,15,pessimestic,0.5,quantile
E,54,pessimestic,0.5,quantile
A,46,pessimestic,0.6,quantile
B,80,pessimestic,0.6,quantile
C,49,pessimestic,0.6,quantile
D,39,pessimestic,0.6,quantile
E,60,pessimestic,0.6,quantile
A,8,pessimestic,0.7,quantile
B,72,pessimestic,0.7,quantile
C,63,pessimestic,0.7,quantile
D,60,pessimestic,0.7,quantile
E,71,pessimestic,0.7,quantile
