code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving.1,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count,knn_class,quantile_class
8076800195057,Spaghetti N.5,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
8076809529433,BARILLA PENE ολικης,a,a,False,90,Excellent,0.0,3.5,1466.0,kJ,347.0,0.5,0.004,13.0,8.0,0.0,0,0,0,0,0,B,B
8076802085738,Penne Rigate N°73,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
8076800376999,Lasagne all'uovo,a,b,False,90,Excellent,0.0,3.0,1558.0,kJ,368.0,1.0,0.032,14.0,3.0,0.0,0,0,0,0,0,B,C
8076809523509,Pâtes linguine collezione 500g,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
8076800105056,Pâtes spaghetti n°5 1kg,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
8076800195033,Pâtes Spaghettini N°3 500G,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
8076809545457,Penne Rigate Senza Glutine,a,b,False,49,Mediocre,0.0,0.5,358.0,kcal,358.0,0.3,0.004,6.5,1.1,0.0,1,0,0,0,1,E,D
8076800105735,Penne Rigate,a,b,False,90,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0,0,0,0,0,B,B
3038350013606,Panzani torti 500g,a,b,False,90,Excellent,0.0,3.7,1531.0,kJ,361.0,0.4,0.0,12.0,3.6,0.0,0,0,0,0,0,B,B
