code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving.1,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count,knn_class,quantile_class
8076800195057.0,Spaghetti N.5,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809529433.0,BARILLA PENE ολικης,a,a,False,90.0,Excellent,0.0,3.5,1466.0,kJ,347.0,0.5,0.004,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076802085738.0,Penne Rigate N°73,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076800376999.0,Lasagne all'uovo,a,b,False,90.0,Excellent,0.0,3.0,1558.0,kJ,368.0,1.0,0.032,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809523509.0,Pâtes linguine collezione 500g,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076800105056.0,Pâtes spaghetti n°5 1kg,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076800195033.0,Pâtes Spaghettini N°3 500G,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809545457.0,Penne Rigate Senza Glutine,a,b,False,49.0,Mediocre,0.0,0.5,358.0,kcal,358.0,0.3,0.004,6.5,1.1,0.0,1.0,0.0,0.0,0.0,1.0,D,D
8076800105735.0,Penne Rigate,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3038350013606.0,Panzani torti 500g,a,b,False,90.0,Excellent,0.0,3.7,1531.0,kJ,361.0,0.4,0.0,12.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809545440.0,Spaghetti Senza Glutine,a,b,False,49.0,Mediocre,0.0,0.5,1518.0,kJ,358.0,0.3,0.004,6.5,1.1,0.0,1.0,0.0,0.0,0.0,1.0,D,D
8076809512268.0,Girandole,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3175681170841.0,"Ravioli au tofu, tomates, basilic",a,a,True,94.0,Excellent,28.333125,2.9,465.0,kJ,111.0,0.4,0.296,3.8,3.8,28.333125,0.0,0.0,1.0,2.0,3.0,D,D
8076808150072.0,Pâtes spaghettoni n°7 500g,a,b,False,90.0,Excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.004,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809532709.0,coquillette,a,b,False,90.0,Excellent,0.0,3.5,1466.0,kJ,347.0,0.5,0.004,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3038350023001.0,Coquillettes,a,b,False,90.0,Excellent,0.0,3.7,1531.0,kJ,361.0,0.4,0.0,12.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3560070825493.0,Fusilli Blé complet,a,a,False,90.0,Excellent,0.0,3.0,1525.0,kJ,360.0,0.4,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8001250120076.0,Linguine n° 7,a,b,False,90.0,Excellent,0.0,3.4,1493.0,kJ,352.0,0.3,0.004,13.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3478820043625.0,Spaghetti au Quinoa Tomate,a,b,True,100.0,Excellent,0.0,2.5,1551.0,kJ,366.0,0.25,0.0068,11.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3240931546353.0,Tagliatelles aux œufs frais,a,b,False,90.0,Excellent,0.0,3.4,1189.0,kJ,281.0,0.6,0.02,10.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8001250120342.0,Fusilli n°34,a,b,False,90.0,Excellent,0.0,3.4,1493.0,kJ,351.0,0.3,0.0,14.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809545488.0,Coquillettes sans gluten,a,b,False,49.0,Mediocre,0.0,0.6,363.0,kcal,363.0,0.7,0.0008,6.9,1.7,0.0,1.0,0.0,0.0,0.0,1.0,D,D
3252971585858.0,Les Crozets Nature,a,a,False,90.0,Excellent,0.0,2.0,1546.0,kJ,365.0,0.8,0.1,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8008343200660.0,Penne Rigate N°66,a,b,False,90.0,Excellent,0.0,3.1,1510.0,kJ,356.0,0.3,0.002,14.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564707000109.0,Torsades complètes,a,a,True,100.0,Excellent,0.0,3.5,1463.0,kJ,336.0,0.1,0.012,14.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076808060654.0,Farfalle,a,b,False,90.0,Excellent,0.0,3.5,1502.0,kJ,359.0,0.5,0.004,12.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3252971341003.0,Avoines,a,a,False,90.0,Excellent,0.0,2.0,1526.0,kJ,360.0,0.3,0.004,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3038350013101.0,Macaroni,a,b,False,90.0,Excellent,0.0,3.7,1531.0,kJ,361.0,0.4,0.0,12.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3038350023605.0,Torti 1 kg,a,b,False,90.0,Excellent,0.0,3.7,1531.0,kJ,361.0,0.4,0.0,12.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3760020509316.0,Tire-bouchons semi-complets,a,b,True,100.0,excellent,0.0,3.6,1515.0,kJ,357.0,0.3,0.008,12.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
20114992.0,Spaghetti Bio,a,a,True,100.0,excellent,0.0,3.2,1483.0,kJ,350.0,0.3,0.0,12.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564707164511.0,Spaghettis complets,a,a,True,100.0,excellent,0.0,3.5,344.0,kcal,344.0,0.1,0.012,14.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,A,D
20115005.0,Bio Fusilli,a,b,True,100.0,excellent,0.0,3.2,1483.0,kJ,350.0,0.3,0.0,12.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3270190156222.0,Spaghetti semi-complets,a,a,True,100.0,excellent,0.0,3.5,1455.0,kJ,343.0,0.1,0.012,13.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3760020509293.0,Coquillettes semi-complètes,a,b,True,100.0,excellent,0.0,3.6,1512.0,kJ,357.0,0.3,0.008,12.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564707103237.0,Penne Rigate,a,b,True,100.0,excellent,0.0,3.5,1504.0,kJ,355.0,0.1,0.0,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3596710516001.0,Fusilli au blé complet,a,b,True,100.0,excellent,0.0,3.5,1451.0,kJ,343.0,0.5,0.004,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564707000093.0,Coquillettes Bio,a,b,True,100.0,excellent,0.0,3.5,1504.0,kJ,,0.1,0.0,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,A,A
3564707164474.0,Bio village,a,b,True,100.0,excellent,0.0,3.5,335.0,kcal,335.0,0.1,0.012,12.0,2.5,,0.0,0.0,0.0,0.0,0.0,A,D
3478820003643.0,spaghetti au quinoa curry curcuma,a,b,True,100.0,excellent,0.0,2.0,1524.0,kJ,360.0,0.0,0.0,11.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3760020509491.0,Ravioli de légumes,a,a,True,88.0,excellent,48.53828125,3.0,319.0,kJ,76.0,0.2,0.26,2.3,1.4,48.53828125,0.0,0.0,0.0,0.0,0.0,A,D
3252970006170.0,Avoine Bio de France,a,b,True,100.0,excellent,0.0,2.5,348.0,kcal,348.0,0.3,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076809570664.0,Barilla pates coquillettes bio 500g,a,a,True,100.0,excellent,0.0,3.5,1521.0,kJ,359.0,0.5,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8003740125363.0,Fusilli 36,a,b,True,100.0,excellent,0.0,3.5,1451.0,kJ,343.0,0.5,0.004,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3250392066192.0,Raviolis aux légumes BIO 675g (bocal),a,a,True,94.0,excellent,42.87563477,3.7,303.0,kJ,72.0,0.2,0.32,2.1,2.1,42.87563477,0.0,0.0,0.0,0.0,0.0,A,D
26022314.0,Spaghetti,a,b,True,100.0,excellent,0.0,1.4,167.0,kcal,167.0,0.2,0.004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8032891769249.0,Spaghetti semi-complet,a,a,True,100.0,excellent,0.0,5.5,361.0,kcal,361.0,0.4,0.02,11.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3270190127833.0,Spaghetti,a,b,True,100.0,excellent,0.0,3.5,354.0,kcal,354.0,0.0,0.0,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
4056489362449.0,Bio Spaghetti blé complet,a,b,True,100.0,excellent,0.0,4.0,1407.0,kJ,336.0,0.5,0.012,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564707000086.0,Spaghettis,a,b,True,100.0,excellent,0.0,3.5,1504.0,kJ,355.0,0.1,0.012,12.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3380390175524.0,Spirales 3 couleurs blé & quinoa,a,b,True,100.0,excellent,5.0,3.0,1488.0,kJ,,0.4,0.004,10.8,2.8,5.0,0.0,0.0,0.0,0.0,0.0,A,D
3560071251864.0,Fusilli au blé complet,a,b,True,100.0,excellent,0.0,3.0,360.0,kcal,360.0,0.400000006,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3760103149415.0,Vermicelles thaïs de riz,a,b,True,100.0,excellent,0.0,0.0,1525.0,kJ,359.0,0.6,0.0,6.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3456300002515.0,Bons Tuyaux Semi-complets,a,b,True,100.0,excellent,0.0,3.6,1515.0,kJ,357.0,0.3,0.008,12.3,4.9,0.0,0.0,0.0,0.0,0.0,0.0,A,D
4056489705314.0,"Mezzelune butternut squash, ricotta & mascarpone",a,c,False,90.0,excellent,85.2,6.9,214.0,kcal,214.0,1.6,0.244,7.4,3.2,85.2,0.0,0.0,0.0,1.0,1.0,D,D
8480000063632.0,Estrellas,a,b,False,90.0,excellent,0.0,3.5,1531.0,kJ,366.0,0.3,0.016,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8480000062383.0,Hélices. Pasta Alimenticia De Calidad Superior,a,b,False,90.0,excellent,0.0,3.6,1510.0,kJ,361.0,0.3,0.004,13.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8032891769492.0,Spirale complète d'épeautre de Tartarie Bio,a,a,False,100.0,Excellent,0.0,3.5,344.0,kcal,344.0,0.6,0.004,11.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3259011215430.0,Farfalle riz brun,a,b,False,100.0,Excellent,0.0,0.0,1533.0,kJ,366.0,0.8,0.004,8.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3245390065926.0,Crozet de Savoie,a,b,False,90.0,Excellent,0.0,2.5,1550.0,kJ,366.0,0.8,0.1,13.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3038356507604.0,Panzani Cous Cous Paste Fainoase,a,a,False,90.0,Excellent,,3.0,1528.0,kJ,365.0,0.4,0.008,12.0,3.4,,0.0,0.0,0.0,0.0,0.0,A,D
3256220298896.0,Farfalle qualité supérieure,a,b,False,90.0,Excellent,0.0,3.0,1500.0,kJ,354.0,0.3,0.008,12.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8005709100084.0,Spaghetti,a,b,False,90.0,Excellent,0.0,3.2,1501.0,kJ,354.0,0.3,0.002,14.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,A,D
5054781025276.0,Wholewheat Penne Pasta,a,b,False,90.0,Excellent,0.0,0.5,621.0,kJ,147.0,0.2,0.004,4.8,3.7,0.0,0.0,0.0,0.0,0.0,0.0,A,D
4088600132037.0,wholewheat spaghetti,a,b,False,90.0,Excellent,0.0,1.5,662.0,kJ,,0.2,0.004,5.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8004690053195.0,Rigatoni,a,b,False,90.0,Excellent,0.0,4.0,351.0,kcal,351.0,0.3,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8480000063267.0,Macarrón,a,b,False,90.0,Excellent,0.0,3.5,1550.0,kJ,366.0,0.3,0.016,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3073190101069.0,Macaroni aux œufs frais,a,a,False,90.0,Excellent,0.0,4.5,374.0,kcal,374.0,0.8,0.008,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8005709104952.0,Fusilli,a,b,False,90.0,Excellent,0.0,3.2,1501.0,kJ,354.0,0.3,0.002,14.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,A,D
20086497.0,Macaroni,a,b,False,90.0,Excellent,0.0,3.2,1483.0,kJ,350.0,0.3,0.0,12.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3250391968947.0,Crozets de Savoie au Sarrasin - Itinéraire des Saveurs,a,b,False,90.0,Excellent,0.0,0.5,603.0,kJ,,0.3,0.036,5.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8076800315097.0,N-Bucatini n°9,a,b,False,90.0,Excellent,0.0,1.0,1487.0,kJ,355.4015,0.3,0.002,12.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3660861021490.0,"Farfalles, Al dente en 3 minutes",a,b,False,90.0,Excellent,0.0,6.0,355.0,kcal,355.0,0.3,0.008,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8005709200128.0,chitarra,a,b,False,90.0,Excellent,0.0,3.2,354.0,kcal,354.0,0.3,0.002,13.5,0.0,,0.0,0.0,0.0,0.0,0.0,D,D
3564700680667.0,Cannelloni à Farcir,a,b,False,90.0,Excellent,0.0,2.0,1536.0,kJ,,0.4,0.0,12.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3564700769034.0,Coudes rayés,a,b,False,90.0,Excellent,0.0,3.5,1518.0,kJ,348.0,0.1,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
8004690611517.0,Spaghetto quadrato,a,b,False,90.0,Excellent,0.0,3.3,353.0,kcal,353.0,0.3,0.032,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,A,D
3248830770718.0,"Nouilles à la Chinoise au Poulet, légumes croquants",a,e,False,84.0,Excellent,5.1,2.2,430.0,kJ,102.0,0.4,0.268,5.0,1.8,5.1,0.0,0.0,0.0,0.0,0.0,A,D
