code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count
8076800195057,Spaghetti N.5,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076809529433,BARILLA PENE ολικης,a,a,FALSE,90,Excellent,0,3.5,1466,kJ,347,0.5,0.004,13,8,0,0,0,0,0,0
8076802085738,Penne Rigate N°73,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076800376999,Lasagne all'uovo,a,b,FALSE,90,Excellent,0,3,1558,kJ,368,1,0.032,14,3,0,0,0,0,0,0
8076809523509,Pâtes linguine collezione 500g,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076800105056,Pâtes spaghetti n°5 1kg,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076800195033,Pâtes Spaghettini N°3 500G,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076809545457,Penne Rigate Senza Glutine,a,b,FALSE,49,Mediocre,0,0.5,358,kcal,358,0.3,0.004,6.5,1.1,0,1,0,0,0,1
8076800105735,Penne Rigate,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
3038350013606,Panzani torti 500g,a,b,FALSE,90,Excellent,0,3.7,1531,kJ,361,0.4,0,12,3.6,0,0,0,0,0,0
8076809545440,Spaghetti Senza Glutine,a,b,FALSE,49,Mediocre,0,0.5,1518,kJ,358,0.3,0.004,6.5,1.1,0,1,0,0,0,1
8076809512268,Girandole,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
3175681170841,"Ravioli au tofu, tomates, basilic",a,a,TRUE,94,Excellent,28.333125,2.9,465,kJ,111,0.4,0.296,3.8,3.8,28.333125,0,0,1,2,0
8076808150072,Pâtes spaghettoni n°7 500g,a,b,FALSE,90,Excellent,0,3.5,1521,kJ,359,0.5,0.004,13,3,0,0,0,0,0,0
8076809532709,coquillette,a,b,FALSE,90,Excellent,0,3.5,1466,kJ,347,0.5,0.004,13,8,0,0,0,0,0,0
3038350023001,Coquillettes,a,b,FALSE,90,Excellent,0,3.7,1531,kJ,361,0.4,0,12,3.6,0,0,0,0,0,0
3560070825493,Fusilli Blé complet,a,a,FALSE,90,Excellent,0,3,1525,kJ,360,0.4,0,13,6,0,0,0,0,0,0
8001250120076,Linguine n° 7,a,b,FALSE,90,Excellent,0,3.4,1493,kJ,352,0.3,0.004,13,2.9,0,0,0,0,0,0
3478820043625,Spaghetti au Quinoa Tomate,a,b,TRUE,100,Excellent,0,2.5,1551,kJ,366,0.25,0.0068,11,4.5,0,0,0,0,0,0
